rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Home Alone,"$290,177,167","$285,761,243",98.5%,"$4,172,836",1.4%
2,Ghost,"$217,632,241","$217,631,306",100%,-,-
3,Dances with Wolves,"$184,208,848","$184,208,848",100%,-,-
4,Pretty Woman,"$178,788,238","$178,406,268",99.8%,"$315,609",0.2%
5,Teenage Mutant Ninja Turtles,"$135,271,094","$135,265,915",100%,-,-
6,The Hunt for Red October,"$122,012,643","$122,012,643",100%,-,-
7,Total Recall,"$119,438,055","$119,394,840",100%,"$43,215",<0.1%
8,Die Hard 2,"$117,546,200","$117,540,947",100%,$67,<0.1%
9,Dick Tracy,"$103,739,295","$103,738,726",100%,-,-
10,Kindergarten Cop,"$91,457,688","$91,457,688",100%,-,-
11,Back to the Future Part III,"$87,727,583","$87,727,583",100%,-,-
12,Days of Thunder,"$87,164,933","$82,670,733",94.8%,"$4,492,812",5.2%
13,Presumed Innocent,"$86,303,188","$86,303,188",100%,-,-
14,Another 48 Hrs.,"$80,818,974","$80,818,974",100%,-,-
15,Three Men and a Little Lady,"$71,609,321","$71,609,321",100%,-,-
16,Bird on a Wire,"$70,978,012","$70,978,012",100%,-,-
17,The Godfather Part III,"$66,774,871","$66,666,062",99.8%,"$108,809",0.2%
18,Flatliners,"$61,489,265","$61,489,265",100%,-,-
19,Misery,"$61,277,756","$61,276,872",100%,-,-
20,Edward Scissorhands,"$56,367,078","$56,362,352",100%,-,-
21,Problem Child,"$53,470,891","$53,470,891",100%,-,-
22,Arachnophobia,"$53,208,180","$53,208,180",100%,-,-
23,Awakenings,"$52,096,475","$52,096,475",100%,-,-
24,Look Who's Talking Too,"$47,789,074","$47,789,074",100%,-,-
25,Hard to Kill,"$47,410,827","$47,410,827",100%,-,-
26,GoodFellas,"$46,860,930","$46,836,214",99.9%,-,-
27,Marked for Death,"$46,044,396","$46,044,396",100%,-,-
28,RoboCop 2,"$45,682,484","$45,681,173",100%,-,-
